userid,version,sum_gamerounds,retention_1,retention_7
116,gate_30,3,False,False
337,gate_30,38,True,False
1066,gate_30,0,False,False
2101,gate_30,0,False,False
2179,gate_30,39,True,False
2382,gate_30,73,True,False
2392,gate_30,14,True,False
2482,gate_30,108,True,True
2534,gate_30,5,True,False
2729,gate_30,105,False,True
2829,gate_30,4,False,False
2963,gate_30,3,False,False
3095,gate_30,0,False,False
3199,gate_30,5,False,False
3413,gate_30,37,True,False
3690,gate_30,13,True,False
3696,gate_30,50,False,False
4162,gate_30,23,False,False
4176,gate_30,0,False,False
4283,gate_30,103,False,False
4594,gate_30,27,False,False
4881,gate_30,0,False,False
4918,gate_30,7,False,False
5066,gate_30,1,False,False
5215,gate_30,13,True,False
5286,gate_30,12,True,False
5479,gate_30,25,True,False
5550,gate_30,29,True,False
5712,gate_30,105,True,True
6123,gate_30,0,False,False
6151,gate_30,94,True,True
6492,gate_30,0,False,False
6924,gate_30,21,False,False
7253,gate_30,45,True,False
7527,gate_30,80,False,False
7564,gate_30,21,False,False
7866,gate_30,14,False,False
8063,gate_30,50,True,False
8288,gate_30,9,False,False
8379,gate_30,0,False,False
8464,gate_30,10,False,False
8494,gate_30,5,True,False
8644,gate_30,2,False,False
8679,gate_30,0,False,False
8692,gate_30,3,True,False
8788,gate_30,19,False,True
9589,gate_30,8,False,False
10112,gate_30,6,False,False
10218,gate_30,22,True,False
10336,gate_30,11,False,False
10756,gate_30,16,False,False
11127,gate_30,66,True,True
11297,gate_30,0,False,False
11420,gate_30,75,True,False
11599,gate_30,3,False,False
11747,gate_30,1,True,False
11840,gate_30,24,False,False
11886,gate_30,3,False,False
12053,gate_30,11,True,False
12163,gate_30,47,True,False
12523,gate_30,31,True,False
12558,gate_30,13,False,False
12574,gate_30,22,True,False
12749,gate_30,6,True,False
12967,gate_30,24,True,False
12979,gate_30,6,False,False
13216,gate_30,24,True,False
13429,gate_30,60,False,True
13633,gate_30,67,False,False
13664,gate_30,42,True,True
13758,gate_30,1,False,False
13806,gate_30,4,False,False
13856,gate_30,3,False,False
13872,gate_30,1,False,False
14143,gate_30,13,False,False
14296,gate_30,37,False,False
14592,gate_30,1,False,False
14834,gate_30,27,False,False
15173,gate_30,8,False,False
15294,gate_30,51,True,True
15489,gate_30,5,False,False
15962,gate_30,0,False,False
16180,gate_30,5,False,False
16506,gate_30,4,True,False
17167,gate_30,21,False,False
17270,gate_30,49,True,False
17461,gate_30,1,False,False
17477,gate_30,46,True,True
17554,gate_30,1,False,False
17814,gate_30,14,False,False
17947,gate_30,104,True,True
17995,gate_30,6,False,False
18235,gate_30,8,False,False
18731,gate_30,1,False,False
18756,gate_30,38,True,True
18778,gate_30,13,False,False
18827,gate_30,20,True,False
19077,gate_30,11,False,False
19490,gate_30,72,True,False
19746,gate_30,65,False,True
19993,gate_30,5,True,False
20005,gate_30,4,False,False
20052,gate_30,8,False,False
20136,gate_30,0,False,False
20465,gate_30,108,True,False
20763,gate_30,10,False,False
